Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-05-14 00:00:00,41.697,10.806,2.762,499.273,0.502,10.91,748.6890701201,68.555,0.15,89.0
Площадка 21 414,2025-05-14 00:20:00,44.549,5.0,3.317,591.223,0.584,10.615,748.6740688864,69.77,0.15,89.0
Площадка 21 414,2025-05-14 00:40:00,42.841,17.427,1.09,424.318,0.571,10.755,748.6590676527,67.855,0.15,89.05
Площадка 21 414,2025-05-14 01:00:00,42.444,19.612,0.514,383.135,0.42,10.825,748.5090553161,67.645,0.15,94.5
Площадка 21 414,2025-05-14 01:20:00,36.815,12.747,2.357,435.983,0.454,10.545,748.4490503815,71.415,0.15,97.1
Площадка 21 414,2025-05-14 01:40:00,40.827,5.037,2.698,516.284,0.497,10.24,748.38154483,74.01,0.15,97.2
Площадка 21 414,2025-05-14 02:00:00,41.882,1.461,3.152,536.616,0.622,10.355,748.426548531,74.105,0.15,127.6
Площадка 21 414,2025-05-14 02:20:00,37.701,2.269,3.583,564.653,0.613,10.73,748.4190479142,73.16,0.15,253.0
Площадка 21 414,2025-05-14 02:40:00,35.667,4.359,3.399,506.772,0.475,10.855,748.3515423627,73.37,0.15,253.0
Площадка 21 414,2025-05-14 03:00:00,36.825,2.987,4.168,494.164,0.532,11.26,748.3965460637,74.02,0.15,253.45
Площадка 21 414,2025-05-14 03:20:00,39.117,8.315,1.5,477.192,0.474,11.865,748.4490503815,72.4,0.161,282.35
Площадка 21 414,2025-05-14 03:40:00,35.43,12.828,0.584,419.89,0.517,12.25,748.471552232,72.355,0.15,309.3
Площадка 21 414,2025-05-14 04:00:00,37.384,9.3,0.481,408.72,0.472,12.875,748.4640516152,70.09,0.152,203.4
Площадка 21 414,2025-05-14 04:20:00,38.757,12.859,0.33,406.341,0.466,13.52,748.5015546993,66.6,0.15,75.85
Площадка 21 414,2025-05-14 04:40:00,45.414,8.811,0.519,442.699,0.547,13.735,748.5690602508,64.685,0.211,164.5
Площадка 21 414,2025-05-14 05:00:00,48.727,14.853,0.264,440.168,0.509,13.68,748.5840614844,62.07,0.727,273.6
Площадка 21 414,2025-05-14 05:20:00,48.788,17.948,0.27,410.845,5.996,13.71,748.6590676527,64.825,0.853,280.3
Площадка 21 414,2025-05-14 05:40:00,51.072,15.175,0.325,410.573,0.636,13.725,748.824081223,68.95,1.127,271.2
Площадка 21 414,2025-05-14 06:00:00,50.477,26.612,0.377,378.541,0.553,13.87,748.8090799893,71.535,1.435,278.65
Площадка 21 414,2025-05-14 06:20:00,49.015,26.626,0.315,377.641,0.554,14.3,748.6515670359,71.55,1.158,271.2
Площадка 21 414,2025-05-14 06:40:00,48.897,25.723,0.412,372.417,0.506,14.85,748.5315571666,69.31,0.711,291.3
Площадка 21 414,2025-05-14 07:00:00,49.167,27.918,0.35,364.374,0.586,15.035,748.516555933,67.905,1.006,288.3
Площадка 21 414,2025-05-14 07:20:00,49.506,27.102,0.322,362.657,0.46,14.865,748.4190479142,68.665,1.177,285.9
Площадка 21 414,2025-05-14 07:40:00,49.799,21.795,0.345,371.89,0.542,14.62,748.3290405122,70.165,1.091,279.1
Площадка 21 414,2025-05-14 08:00:00,45.849,24.235,0.262,376.709,2.394,14.84,748.2690355776,70.07,0.967,271.2
Площадка 21 414,2025-05-14 08:20:00,45.932,25.215,0.293,381.931,0.501,15.37,748.2240318766,68.535,0.912,283.55
Площадка 21 414,2025-05-14 08:40:00,45.539,24.579,0.341,378.549,0.461,15.965,748.2090306429,66.525,0.871,279.0
Площадка 21 414,2025-05-14 09:00:00,45.306,25.167,0.415,362.116,0.457,15.365,748.2615349608,68.83,1.198,272.45
Площадка 21 414,2025-05-14 09:20:00,44.541,23.23,0.28,366.796,0.45,15.425,748.2990380449,69.465,0.755,270.45
Площадка 21 414,2025-05-14 09:40:00,43.64,22.436,0.416,379.589,0.47,15.29,748.2240318766,70.225,0.907,278.55
Площадка 21 414,2025-05-14 10:00:00,43.086,22.696,0.421,367.768,0.489,14.63,748.0515176895,72.72,1.187,277.8
Площадка 21 414,2025-05-14 10:20:00,44.087,23.564,0.426,374.446,0.511,13.845,747.8189985678,77.19,1.387,274.75
Площадка 21 414,2025-05-14 10:40:00,45.085,21.313,0.335,373.015,0.629,13.735,747.5864794461,78.845,1.003,276.5
Площадка 21 414,2025-05-14 11:00:00,44.143,20.958,0.334,372.484,0.465,13.51,747.3914634085,80.15,1.398,276.2
Площадка 21 414,2025-05-14 11:20:00,42.593,19.122,0.388,376.002,0.498,13.065,747.2939553897,82.9,1.146,273.25
Площадка 21 414,2025-05-14 11:40:00,42.44,19.232,0.276,372.949,0.386,12.815,747.2864547729,84.955,1.079,274.5
Площадка 21 414,2025-05-14 12:00:00,43.896,17.135,0.355,377.345,0.632,12.775,747.2039479877,86.045,0.669,278.25
Площадка 21 414,2025-05-14 12:20:00,43.95,15.578,0.464,420.118,1.08,12.665,747.0764375016,87.65,0.714,276.7
Площадка 21 414,2025-05-14 12:40:00,42.92,20.839,0.315,390.263,0.499,12.19,747.0089319501,88.525,1.094,275.7
Площадка 21 414,2025-05-14 13:00:00,46.416,21.339,0.322,399.673,0.545,11.52,747.0089319501,88.815,1.411,276.4
Площадка 21 414,2025-05-14 13:20:00,47.552,24.319,0.347,405.941,0.541,11.1,746.8739208472,89.405,1.419,275.95
Площадка 21 414,2025-05-14 13:40:00,47.371,24.241,0.491,454.007,0.442,10.81,746.7614115948,89.835,1.522,277.65
Площадка 21 414,2025-05-14 14:00:00,45.29,27.703,0.447,394.355,0.476,10.535,746.6939060433,90.745,1.562,276.2
Площадка 21 414,2025-05-14 14:20:00,44.666,26.089,0.346,388.092,0.341,10.425,746.5438937067,91.49,1.504,279.1
