Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-05-21 04:40:00,24.534,17.666,0.202,371.778,0.561,11.83,744.6012339477,90.425,0.423,192.4
Площадка 21 414,2025-05-21 05:00:00,23.979,18.247,0.162,370.503,0.435,12.45,744.6612388824,89.315,0.37,183.95
Площадка 21 414,2025-05-21 05:20:00,26.11,15.055,0.199,390.061,0.458,12.785,744.7512462843,88.95,0.316,186.9
Площадка 21 414,2025-05-21 05:40:00,26.586,19.441,0.307,388.849,0.507,12.94,744.9237604714,86.97,0.54,221.0
Площадка 21 414,2025-05-21 06:00:00,29.105,12.103,0.345,383.555,0.409,12.855,744.983765406,86.98,0.622,208.7
Площадка 21 414,2025-05-21 06:20:00,30.899,16.84,0.315,370.755,0.293,13.495,745.0962746585,83.915,1.03,231.1
Площадка 21 414,2025-05-21 06:40:00,31.231,16.841,0.299,373.751,0.554,13.835,745.2012832941,81.92,1.466,235.7
Площадка 21 414,2025-05-21 07:00:00,32.858,17.991,0.328,377.954,0.398,14.035,745.3212931634,80.375,1.414,236.1
Площадка 21 414,2025-05-21 07:20:00,35.17,18.922,0.305,371.543,0.945,14.23,745.4037999485,78.94,1.215,238.65
Площадка 21 414,2025-05-21 07:40:00,37.907,18.785,0.353,382.716,0.759,14.24,745.5238098178,76.99,1.04,243.3
Площадка 21 414,2025-05-21 08:00:00,37.289,20.463,0.391,385.899,0.463,14.775,745.6063166029,75.175,1.005,230.25
Площадка 21 414,2025-05-21 08:20:00,38.22,24.416,0.325,375.96,0.576,16.63,745.5688135188,68.62,1.437,243.45
Площадка 21 414,2025-05-21 08:40:00,39.138,25.562,0.395,366.806,0.573,17.8,745.5763141356,62.83,1.572,242.5
Площадка 21 414,2025-05-21 09:00:00,41.776,26.128,0.407,369.751,0.562,18.23,745.5763141356,59.845,1.77,230.65
